email,group,promotional_email_subject,click
ratihlarasati@freeproblem.com,treatment,personalization,0
musliminkrisnow@mexicomail.com,control,generic,0
abdi9@berlinexpo.de,treatment,personalization,0
suryanilusiannaf@mail2madagascar.com,treatment,personalization,1
vinataf7@nowmymail.com,treatment,personalization,0
suryaninurul_g@viewcastmedia.com,control,generic,0
susilawatimeilaniewkd@mail2lyle.com,control,generic,0
sutrisnorivintj@war-im-urlaub.de,treatment,personalization,0
robiyacmadnl@polizisten-duzer.de,control,generic,0
maemunah@mail2northdakota.com,treatment,personalization,0
supian52@mail2miami.com,control,generic,0
putri@ieatspam.info,treatment,personalization,0
dzulqarnainf@echina.com,control,generic,0
bagja@mail2massachusetts.com,treatment,personalization,0
gemijeumpated@bigmir.net,treatment,personalization,0
hafidzaryo3s@coolkiwi.com,treatment,personalization,0
fatihahrinawati_p@marina.com,control,generic,0
anessusilom@mortaza.com,control,generic,0
saudahmawarp@mailbidon.com,treatment,personalization,0
wardavina4@geocities.com,control,generic,0
amatoe@sci.fi,treatment,personalization,0
abdillah68r@atl.lv,control,generic,1
hakimridhwanhy@ag.us.to,control,generic,0
surianits@pagons.org,treatment,personalization,1
akifahvf@studentcenter.org,control,generic,1
syamsiahus@mail2hannah.com,control,generic,0
firaas@mailsiphon.com,control,generic,0
hartonodhr@asean-mail.com,treatment,personalization,0
jannahj7@multiplechoices,treatment,personalization,0
sulaeman5a@cyclefanz.com,treatment,personalization,0
nurdinharjona@schoolmail.com,control,generic,0
bagoesagoenghv@fromsouthcarolina.com,treatment,personalization,1
megapb@bossofthemoss.com,control,generic,1
lilinw@mycity.com,treatment,personalization,0
fadhilamutya0@trainspottingfan.com,control,generic,0
zaenabutari27@hidzz.com,treatment,personalization,1
liangbalik4@syom.com,control,generic,0
muchammad4@boardermail.com,treatment,personalization,0
luqmanbudihartode@mail2erin.com,treatment,personalization,0
khalifahgl9@mail2hyperspace.com,treatment,personalization,0
aladinmulyonoj2y@mail2oman.com,control,generic,0
patimah3ca@sandelf.de,treatment,personalization,0
kartikairawatid6s@xmsg.com,control,generic,0
rustamwaliyuddint9@m4ilweb.info,control,generic,1
chodijahkalsumd@odnorazovoe.ru,treatment,personalization,0
subrotoy7v@nandomail.com,treatment,personalization,0
mahadewi6@showfans.com,treatment,personalization,0
susilawatiq@spray.no,control,generic,0
rarungikrimahh@mail2pennsylvania.com,control,generic,0
linggaamranzy@general-hospital.com,treatment,personalization,1
nurmazevaag@macmail.com,control,generic,0
airlanggaeffendie5hg@rubyridge.com,control,generic,0
wirantoc1@arabtop.net,treatment,personalization,0
alifkhabibl7@infovia.com.ar,treatment,personalization,0
ehashwita65r@angelic.com,treatment,personalization,1
jannahrochanit@birdfanatic.com,treatment,personalization,0
widyaningsihasiyah3@mail2ethan.com,control,generic,0
indera1s8@joelonsoftware.com,treatment,personalization,0
zubaidahzii@mail2grace.com,control,generic,0
syarifgdv@trashymail.net,treatment,personalization,0
shofiah7n@bartender.net,control,generic,0
ehasylvianau@nospamfor.us,control,generic,0
wayanskolastika@bresnan.net,control,generic,0
pancadzulkarnaen9b@mail2fashion.com,control,generic,0
rachmanharyu@mail2becky.com,treatment,personalization,0
lusillajunitag@mail2sweetheart.com,control,generic,0
fachrikasimu@mom-mail.com,treatment,personalization,1
dickyzidane8@mail2parker.com,control,generic,1
malikiishak6s@outlook.lv,control,generic,0
tiyana7@mail2monaco.com,control,generic,0
yunimelatia@mail2highschool.com,control,generic,0
izzakdumadi86@fromnorthdakota.com,treatment,personalization,0
rasyadr4@bimamail.com,treatment,personalization,0
tri@mail2bio.com,control,generic,1
utamibellia5@mail2tango.com,control,generic,0
amsalbentangu9@cybercity-online.net,control,generic,0
candraningsihzahirah6ih@starmedia.com,control,generic,0
delima4e@acdcfan.com,control,generic,0
ayur@uk7.net,treatment,personalization,0
batarimasidahq_4@usanetmail.com,control,generic,0
suwarnoi6@live.jp,treatment,personalization,1
hafidzahu@uk2k.com,control,generic,1
shafiyahmaizah@mail2create.com,treatment,personalization,0
muzaimahlatipav@animal.net,control,generic,1
saifuddin2f@1mum.com,treatment,personalization,0
kamaruddinmhz@orange.net,treatment,personalization,0
yusufq0@no4ma.ru,control,generic,0
riduanchairudinc@billsfan.net,treatment,personalization,1
suhartoag@ranmamail.com,control,generic,1
rogayahseri_@khosropour.com,treatment,personalization,1
khaerunnisa9@ip4.pp.ua,treatment,personalization,0
putryintanv@myself.com,control,generic,0
hitlerazans_9@inmano.com,treatment,personalization,0
fadlanargo5@vr9.com,treatment,personalization,0
ehay@justmail.de,treatment,personalization,0
wahyuhusinc@olemail.com,control,generic,1
iis4@add3000.pp.ua,control,generic,0
sarinoorhayatie@mail2bradley.com,control,generic,0
sugengtn@graphic-designer.com,control,generic,0
sherlyo8@vip.126.com,treatment,personalization,0
sumitrav@raubtierbaendiger.de,control,generic,0
suryantida@the-master.com,treatment,personalization,0
aisys@date.by,control,generic,0
kamaludiny8@mail2oops.com,treatment,personalization,1
mardhiahalzenau@mail2mozambique.com,treatment,personalization,0
khrisnasulaimann@k.ro,treatment,personalization,0
bintirp@mailasia.com,treatment,personalization,0
husniyahangkae@mail2louis.com,control,generic,0
rinawatit@humour.com,control,generic,0
deksbanyupi@mail2secretagent.com,control,generic,0
andhikasubratas@mail2russell.com,treatment,personalization,1
suryawanmukhammadx@rocketship.com,treatment,personalization,0
zulaikha6g@spacemart.com,control,generic,0
mahmudbonifasiusv@tibetemail.com,treatment,personalization,1
fitriyanaov5@poczta.fm,control,generic,0
hafizahphc@e-mail.ru,treatment,personalization,0
budhisusila@diri.com,control,generic,0
hanafid@mailfree.gq,control,generic,0
yosuayakobusd@webemail.me,control,generic,0
hamdanrafi_m@falseaddress.com,treatment,personalization,0
dillah@mail2vienna.com,treatment,personalization,0
januripriyo@skafan.com,control,generic,0
amir@mail2spare.com,treatment,personalization,1
nikson8tp@lovemail.com,control,generic,0
budiarto@mailops.com,control,generic,0
kamaruzzamansaepulohss@sativa.ro.org,treatment,personalization,0
jadidmustapah@advantimo.com,treatment,personalization,0
hartalinggao@mail2mini.com,treatment,personalization,0
yudhoyono@tempomail.fr,treatment,personalization,0
zulaikha@socialworker.net,control,generic,0
hanafizulkarnaina@spamkill.info,control,generic,0
farihahs@topranklist.de,treatment,personalization,0
wayan6b@snail-mail.ney,control,generic,0
fachriahdian8@mail2congo.com,treatment,personalization,1
novitalarasati2@mailtemp.info,treatment,personalization,0
arsalariyafl@mail2curt.com,control,generic,0
shofiahtiyana@irj.hu,treatment,personalization,0
yesaya8@cyberleports.com,treatment,personalization,0
nuraidayosha6wv@the-fastest.net,treatment,personalization,0
puspawatifadhila3u@consumerriot.com,treatment,personalization,1
noerdinmahbub9p@lycosemail.com,treatment,personalization,0
ratnasarihh@webprogramming.com,treatment,personalization,0
afandi6@mail2leo.com,control,generic,0
enenguvp@wee.my,treatment,personalization,1
zahirahtirtat6u@mail2hygeia.com,control,generic,0
aninditaayu9@outel.com,control,generic,1
suwarnogunturo@agelessemail.com,control,generic,0
halidafitriyanazf@mmail.com,treatment,personalization,0
mulyadiestomihi5le@mail2hebe.com,control,generic,0
atiyahg@digital-filestore.de,treatment,personalization,0
awanmulyadilk@mail2bosnia.com,control,generic,0
meurahratnacandral4@tin.it,treatment,personalization,0
eneng@keromail.com,control,generic,0
jakasyahidd@btopenworld.co.uk,control,generic,0
tipahl@mailsurf.com,treatment,personalization,0
abdulcatur1n@soundofmusicfans.com,treatment,personalization,0
mahendrisuryanajs@4email.net,control,generic,0
bonifasius53@web-ideal.fr,control,generic,0
purnomoishak4@gotmail.org,treatment,personalization,0
ramlijs@mytempmail.com,treatment,personalization,0
lutfiahl@sneakmail.de,control,generic,0
memedy@mailbox.co.za,control,generic,0
binti3@mail2janice.com,control,generic,0
rasyidnanangplm@inboxclean.com,treatment,personalization,1
hariesh@freeler.nl,treatment,personalization,1
andiq@sogou.com,treatment,personalization,0
sophianm@clubalfa.com,control,generic,0
chadijahun0@vpn.st,treatment,personalization,0
caturzulkhairie@cable.comcast.com,control,generic,1
ratu_@archerymail.com,control,generic,1
candraarsalr@the-marine.com,treatment,personalization,1
yosharibkaec@start.com.au,control,generic,0
faizahtiyanaf@weekmail.com,control,generic,0
syamsiahj@baudoinconsulting.com,control,generic,0
indra_3@mail2james.com,treatment,personalization,0
intenfebriantid@onenet.com.ar,control,generic,1
hartinahu@coollist.com,treatment,personalization,1
jagahariesg@mail2looking.com,control,generic,1
rizal3w@fastmail.co.uk,treatment,personalization,1
agoengt@brew-master.com,control,generic,1
asihfaridah@box.ua,control,generic,0
sitir@email.ro,treatment,personalization,0
nurpurnamazf@berkscounty.com,treatment,personalization,1
yudozulfadli4_@mail2married.com,treatment,personalization,0
suwarno_v@oligarh.ru,control,generic,0
dewianawulanj@literaturelover.com,treatment,personalization,0
avianamaimunahc57@fatyachts.com,control,generic,1
arifinfahmieyn@hsuchi.net,treatment,personalization,0
saifannur5@yourteacher.net,control,generic,0
bis4@yahoo.com.vn,treatment,personalization,0
ahmadhamzah8@mail2senegal.com,treatment,personalization,0
yatnodarmoh92@jumpy.it,control,generic,0
ferginaf@neue-dateien.de,control,generic,0
supriyadielyas@mail2splash.com,control,generic,0
wirantomegaf@itelefonica.com.br,treatment,personalization,0
rustamakhmato4@mail2leone.com,treatment,personalization,0
alimah1p@mail2calvin.com,treatment,personalization,0
sumitra03b@trillianpro.com,control,generic,0
anestasiakhairiyahby@eastlink.ca,treatment,personalization,0
tousa0@mail2mozambique.com,control,generic,0
rezkyariya@francemel.fr,treatment,personalization,0
megaf@teamdiscovery.com,treatment,personalization,0
supianu@tpg.com.au,control,generic,0
nurhasanahc@soon.com,treatment,personalization,0
muthiamalikah@walkmail.ru,treatment,personalization,0
hilmisyukriynb@mail2bonn.com,treatment,personalization,1
adhityaiq@mail2care.com,control,generic,1
bungaw4@italymail.com,treatment,personalization,0
hapsah21@mail2china.com,treatment,personalization,0
anisat@postmaster.co.uk,control,generic,0
nadimahatirah_@tempmailer.de,control,generic,0
isninmulyana9l1@fax.ru,control,generic,0
khaerunnisam@terra.cl,control,generic,0
moammarmochtarlr0@mail2joanna.com,treatment,personalization,0
acengl9f@fortuncity.com,treatment,personalization,0
sulaimanbudionoj@mail2niger.com,treatment,personalization,0
fairuzah@usermail.com,control,generic,0
hanifah8@tcc.on.ca,treatment,personalization,0
karimahw@u14269.ml,control,generic,1
zulfadlic_4@clear.net.nz,control,generic,0
krisnokj@outlook.com.tr,treatment,personalization,0
zulkiflybanyucd8@mail2stan.com,treatment,personalization,0
mamano@twinstarsmail.com,treatment,personalization,0
rina25@from-asia.com,control,generic,0
misbahningsihn5@mail2diamond.com,treatment,personalization,0
jihanjc@mail2hollywood.com,control,generic,0
rawiyahzahrahuz@digosnet.com,treatment,personalization,0
asep@from-japan.net,control,generic,0
anestasiameulu_l@mail2sabrina.com,control,generic,0
muhyiddinhaedar@careceo.com,control,generic,1
suryawaliyuddin76@popstar.com,treatment,personalization,1
akatqy@yahoo.co.kr,treatment,personalization,0
fandy53@yehey.com,control,generic,0
mamatsuwarno7rr@mail2hercules.com,treatment,personalization,0
noerx28@basketballmail.com,treatment,personalization,1
fitrianiud@fromarkansas.com,treatment,personalization,0
saudahd@mail2java.com,treatment,personalization,0
chalid7@mail2basketball.com,treatment,personalization,0
hafisahetis@clubvdo.net,control,generic,1
ardiharta_d2@masrawy.com,control,generic,1
kamaruddinrajabf@ec.rr.com,control,generic,0
setyawatic@mail2hestia.com,treatment,personalization,0
darwis7@china.com,control,generic,0
meilinahamimahvys@religious.com,control,generic,0
afdalsubekti@nenter.com,control,generic,1
raniahwitri_@mail2dealer.com,control,generic,0
widiyanto215@hailmail.net,control,generic,0
khakimyudo2@zvmail.com,control,generic,1
effendiex0f@mail2egypt.com,control,generic,1
yuniq@yahoo.jp,control,generic,1
maisarahmalikahfk@interia.pl,control,generic,0
asihvidiag9@discardmail.com,treatment,personalization,1
azimadesiyantip7@3xl.net,treatment,personalization,0
niom@miesto.sk,treatment,personalization,0
pitalokahasanahb@mail2james.com,control,generic,0
jihandelimas6@animail.net,treatment,personalization,0
laksmisitiewk@mailbidon.com,control,generic,1
muslimzulfahmif@mail2lovable.com,control,generic,0
gunturfendydy@cheshiremail.com,treatment,personalization,0
salimahayuic@trash2010.com,treatment,personalization,0
setyawaticahyaningsihl@mail2samurai.com,treatment,personalization,0
muchtar4b@emailtmp.com,control,generic,0
syahidhaedar3r9@emil.com,control,generic,0
yandb@movieluver.com,treatment,personalization,0
satrioachmadm2d@netc.it,treatment,personalization,0
sri1@sperke.net,treatment,personalization,0
dewaakhmatd7h@yahoo.de,treatment,personalization,0
noerdinmarwan2p@handleit.com,treatment,personalization,0
ahmadr3@internet-mail.org,control,generic,0
cintaosha8@sudomail.biz,control,generic,0
hanifahlaksmizj8@salesperson.net,treatment,personalization,0
putrizubaidah1d@iwmail.com,control,generic,0
yosua0@shitaway.ml,control,generic,1
hayati0@columbusrr.com,control,generic,0
luthfi8@live.nl,treatment,personalization,0
widiac@brokeandhappy.com,treatment,personalization,0
noerdinhafidz6n@nzoomail.com,treatment,personalization,0
wahyuningsih5@samerica.com,control,generic,1
suhartowibawaay@probemail.com,control,generic,0
nurfaizah@sagra.lu.lu,treatment,personalization,1
zulkiflychrismansyahz@btinternet.com,control,generic,0
matheasafrizalai@mail2convict.com,control,generic,0
fandyp9@solar-impact.pro,treatment,personalization,0
zaitunihumairahv@mail2politician.com,treatment,personalization,0
buanae@outlook.com,treatment,personalization,1
hartinahkusumavd@citeweb.net,control,generic,0
mukhlisyi2@3g.ua,treatment,personalization,0
chairuljn@killermail.com,treatment,personalization,0
hanung0@tipsandadvice.com,treatment,personalization,0
kamaruddinuo7@mail2admiral.com,control,generic,0
adityass@mail2jazz.com,control,generic,0
salahudin7pq@mobileninja.co.uk,treatment,personalization,0
khairulze@mail2downtown.com,treatment,personalization,0
rizka2@novogireevo.net,control,generic,0
slametx@bluehyppo.com,control,generic,0
nuraisyahzuraida@salehi.net,treatment,personalization,0
gunawan1h@mail2tennis.com,control,generic,0
saepulohmuchtar@megamail.pt,treatment,personalization,0
rahmanim@space-bank.com,control,generic,1
nuliamulyaningsihg2@streetwisemail.com,treatment,personalization,0
nugrohoabdrahmanvb@mail2titanic.com,treatment,personalization,0
rayaeufrasiait9@interburp.com,treatment,personalization,0
samsulabdurrahim7@valudeal.net,treatment,personalization,0
dahlanwibawa@subnetwork.com,treatment,personalization,0
firman0_@fromnorthdakota.com,control,generic,0
intaneufrasiae@slave-auctions.net,control,generic,0
alimahrindu_@yahoo.es,treatment,personalization,0
roestamcx@swissmail.net,control,generic,0
galuh@0815.ru,control,generic,0
nugrahao@snakemail.com,control,generic,1
zulkarnaenadityasq_@vorsicht-bissig.de,treatment,personalization,1
fitrianasyarifahvir@mail2dealer.com,control,generic,1
husnahsy@witty.com,control,generic,0
abdurrahmankamaruzzaman7@fastemail.us,treatment,personalization,1
paridahmade@mail2www.com,treatment,personalization,0
agungmansyurt2@yours.com,control,generic,0
atma1@189.cn,control,generic,0
marwilisq@lazyinbox.com,control,generic,0
indahsyarifah9z2@orange.net,control,generic,1
atirahwahidahfq@f-m.fm,treatment,personalization,1
raffiizb@sp.nl,control,generic,0
mutiara@chaiyo.com,treatment,personalization,0
hilmiraffib6@websurfer.co.za,control,generic,0
chairudinfahmi_@city-of-liverpool.com,treatment,personalization,0
ichsanachmedl@belizemail.net,control,generic,1
fendyabdrazakh@mail2games.com,control,generic,0
prijono@mail2plato.com,control,generic,0
mulyadisq@email2me.net,treatment,personalization,0
hisyamafdalc@casino.com,treatment,personalization,0
zulkarnainzh@temporarioemail.com.br,control,generic,0
azisvk@city-of-lincoln.com,treatment,personalization,0
komariahb@uk2net.com,control,generic,0
estomihiu@mail2dylan.com,treatment,personalization,1
ibuwatid@za.com,control,generic,0
sittiz@deepseafisherman.net,treatment,personalization,0
durahmanfebriyantob@immo-gerance.info,treatment,personalization,1
waqidtembangdp@usma.net,control,generic,0
mustofabudhy@love.cz,treatment,personalization,1
yuniaannisah6y@standalone.net,control,generic,0
dzulkarnaenerlangga9@wptamail.com,control,generic,0
ferginayunitanel@teamdiscovery.com,control,generic,1
hadiahputry2f@mail2search.com,treatment,personalization,0
rasyadabdulazissf@nybce.com,control,generic,0
paridahkhairia8@mail2cell.com,treatment,personalization,0
meuluh@mp4.it,treatment,personalization,1
samirahsetiawati43@mail2argentina.com,control,generic,0
iissyaripah9k@tut.by,control,generic,0
khodijah@xtra.co.nz,treatment,personalization,0
lenitasusilawati0g@velnet.com,treatment,personalization,1
delliaputi6h@portableoffice.com,treatment,personalization,0
wahidah9ki@teachermail.net,treatment,personalization,1
zulfikrisuriantof_o@internode.on.net,treatment,personalization,0
puspawati5@net-shopping.com,control,generic,0
fadiyahprisia@mail2maine.com,treatment,personalization,0
abdib@freemail.bozz.com,treatment,personalization,0
mutiahusniyahi@mail2andorra.com,treatment,personalization,0
chodijahhapsah6vk@premium-mail.fr,treatment,personalization,0
bellia9jk@warmmail.com,control,generic,0
febriyantosaifanurz@epatra.com,control,generic,0
juwariyahfitrianiw@mailmight.com,treatment,personalization,1
mursyidarifhr0@mail2sam.com,control,generic,0
bernardiaanisahl@mail2trick.com,control,generic,0
hartor7@mail2lisa.com,control,generic,0
soliharifinz@mail2normal.com,treatment,personalization,0
zulkiflis@okmad.com,control,generic,0
maisarahsusilawativ@inoutbox.com,treatment,personalization,0
achmedy@imails.info,treatment,personalization,0
raihanaht@goldenmail.ru,treatment,personalization,0
fachriah@mail2demeter.com,control,generic,0
dilahsurianizi@coole-files.de,treatment,personalization,1
susilobanyup@mailingweb.com,control,generic,0
rasyadzz@graduate.org,treatment,personalization,0
tiyanak@mail2network.com,treatment,personalization,1
saifannur6b@curtsmail.com,treatment,personalization,1
khairiai9l@sneakemail.com,control,generic,1
luqmangugumvd9@soundofmusicfans.com,treatment,personalization,0
mahfudzahnadimah7@mail2caroline.com,treatment,personalization,1
dillahe_@inbound.plus,treatment,personalization,0
hawariahasiyahxe6@berlin.de,treatment,personalization,0
raudhanuraeni7e@happypuppy.com,treatment,personalization,1
fatihahq@e-mail.ru,treatment,personalization,0
arisukanto@boom.com,treatment,personalization,0
ikaratuf@mail2finland.com,control,generic,0
yudasabasev@partlycloudy.com,treatment,personalization,0
hayatinimas23@username.e4ward.com,control,generic,0
putirasyidahn@poohfan.com,control,generic,0
rennyazakiyahb@mail2steve.com,control,generic,1
bagusr8@zionweb.org,treatment,personalization,1
naufalzulkhairiw1@mail2sanfrancisco.com,control,generic,1
maulanateukui@tempthe.net,treatment,personalization,0
audjahindah74@mail2matt.com,treatment,personalization,1
azima0l@thexyz.ca,treatment,personalization,0
zulaichax@mailincubator.com,treatment,personalization,0
muhyiddinuu@discardmail.de,treatment,personalization,0
bulansaripa5@broadwaybuff.com,treatment,personalization,0
ikrimahcwt@mail2ned.com,treatment,personalization,0
aditiaamir8@fromwestvirginia.com,treatment,personalization,1
syakirav@sagra.lu,control,generic,0
mubarokha3@ecompare.com,treatment,personalization,0
azizulx@ravemail.co.za,treatment,personalization,1
rahmiv@tamb.ru,treatment,personalization,0
hermawanuc@socialworker.net,control,generic,1
akbarjanurim@fux0ringduh.com,control,generic,0
estomihizulkiplicn@afrobacon.com,treatment,personalization,1
mutia6@ccnmail.com,control,generic,0
muhammat63@adelphia.net,treatment,personalization,0
khairinaoj_@wegwerfemail.com,treatment,personalization,0
wulanratuu7@your-house.com,treatment,personalization,0
cutk@cabacabana.com,treatment,personalization,0
lukymeurah2c@optonline.net,treatment,personalization,0
acengcatur4_v@mail2runner.com,treatment,personalization,0
latipahzulaichak_3@housefancom,control,generic,0
rexymursyid5jk@mail2karma.com,treatment,personalization,1
rizqiyaningsihl@afrobacon.com,treatment,personalization,1
wawan8wc@zhouemail.510520.org,treatment,personalization,0
yohanes1yb@miesto.sk,treatment,personalization,0
batariaob@internetemails.net,control,generic,1
bellialtc@meatismurder.net,treatment,personalization,0
zulaicha8y@mail2french.com,treatment,personalization,0
firmanharjom23@syriamail.com,treatment,personalization,0
darma3b@mail333.com,control,generic,0
luhk@online.de,treatment,personalization,0
cahayarafiqahh@mail2gavin.com,control,generic,0
linggalesmana62v@swedenmail.com,treatment,personalization,1
saktidarmoifj@turboprinzessin.de,control,generic,0
yacub1t@myplace.com,treatment,personalization,0
ariyaanies5y@thexyz.mobi,control,generic,0
yuniahadiaha5@mail2leslie.com,control,generic,0
awan0@einrot.com,treatment,personalization,0
hidayatullahsetyawan0mq@vlmail.com,treatment,personalization,1
fitrianap0a@instantmail.fr,control,generic,0
chintarawardammo@mail2milkyway.com,treatment,personalization,0
maemunahyqj@mail2spare.com,control,generic,1
eka0s@yuurok.com,treatment,personalization,0
indrawatisuriawatiue@mail2shane.com,control,generic,0
rizqiyaningsihsaudahu1f@deseretmail.com,control,generic,0
avianahamimahp@throwawayemailaddress.com,control,generic,0
meluraminah4@mail.nu,control,generic,0
ehanirmalan@hello.hu,treatment,personalization,0
mahadewizulaikhahs@soulfoodcookbook.com,treatment,personalization,0
azizul@merda.igg.biz,treatment,personalization,1
zhaliamiengm@shitaway.ga,control,generic,0
amienql@meine-dateien.info,control,generic,0
gemij_j@inet.com,treatment,personalization,0
kawasafs@web-ideal.fr,treatment,personalization,0
jihansalimah_22@dotcom.fr,treatment,personalization,0
munawarzamzamww@hackermail.net,control,generic,1
rexygn@mail2slovakia.com,treatment,personalization,0
arifinf@fake-mail.ml,treatment,personalization,1
wulandari7a@sporttruckdriver.com,control,generic,1
wisnudpu@wildmail.com,treatment,personalization,0
suryawan9z@yahoo.com.ru,control,generic,0
yunig@jeanvaljean.com,treatment,personalization,0
yudastb7@freemail.org.mk,treatment,personalization,0
akat1@mail2laurie.com,treatment,personalization,0
ariefroestam6@parrot.com,treatment,personalization,0
sadiahlutfiah3@kumarweb.com,control,generic,0
rawiyah2ey@standalone.net,control,generic,0
aminullahismatullah8dg@nandomail.com,control,generic,0
salmahmasidah@ravemail.com,control,generic,0
hermawanmaulanal@mail2alien.com,control,generic,1
hidayatullahrobiyak@z6.com,treatment,personalization,1
bernardia@mail2smith.com,control,generic,0
bonifasiuslatip4k@dropzone.com,treatment,personalization,0
raharjorahmank@slapsfromlastnight.com,control,generic,0
ismatullahwahyudinuz@ukcool.com,treatment,personalization,1
rajaachmadbfv@lionsfan.com.au,treatment,personalization,0
hamdansamsulul@destin.com,control,generic,1
rahmizahirahj_t@spymac.com,control,generic,0
zulfahminoerdin7g@the-army.com,control,generic,1
nugrohofaizalpw@rock.com,control,generic,0
effendimegoo@talkinator.com,control,generic,0
endangmuliana0j@mail2yahalla.com,control,generic,0
lusillajapa@web.de,treatment,personalization,0
zulfadlipriyonolbf@iwi.net,control,generic,0
adityaswidiyantor@lick101.com,control,generic,0
hafidzaheh@from-china.net,treatment,personalization,1
dillah@mail2brittany.com,control,generic,1
muchlisv8n@gonuts4free.com,control,generic,0
abdurrahmangv@outel.com,control,generic,0
sumitrai@yep.it,control,generic,0
putrikomariah@football.theboys.com,control,generic,0
intanu@femenino.com,treatment,personalization,1
cahyonoandri@brusseler.com,treatment,personalization,0
yusufxg@quicknet.nl,control,generic,0
halidafl@ole.com,treatment,personalization,0
megabaskoro4@relia.com,treatment,personalization,0
darwiskasep@mailfly.com,control,generic,0
memoir8@mail2dennis.com,treatment,personalization,0
khalisahw@easypeasy.com,control,generic,0
yunitau@delikkt.de,control,generic,1
rinawatisetyawatih@fastmailbox.net,control,generic,0
janurirustamf@bullsfan.com,control,generic,0
ratnacandraz@mail2diver.com,treatment,personalization,1
ceudah2x@mail2liquid.com,control,generic,0
fandysupriyadifb@mail2oops.com,treatment,personalization,0
ilham8@folkfan.com,control,generic,0
vidiamutiara@mail2canada.com,control,generic,0
shafa7i@twinmail.de,control,generic,0
jannahangka6u8@tattoofanatic.com,treatment,personalization,1
widyaningsihhd@reallymymail.com,control,generic,0
buleuenfrisas4@dodgit.com,control,generic,0
kurniayx@web-ideal.fr,treatment,personalization,0
sittimeulue@fastmail.se,control,generic,0
batmanq@tut.by,control,generic,0
jannah9@thexyz.ca,treatment,personalization,0
wardah0@superposta.com,treatment,personalization,1
hakimit@fishburne.org,control,generic,0
maisarah7f6@outlook.com.tr,treatment,personalization,1
azizahv5@comcast.com,treatment,personalization,0
yacubx@mail2tajikistan.com,control,generic,0
asihh@mail2joe.com,treatment,personalization,1
meilisadelimaw_g@emailengine.org,treatment,personalization,0
atanasiait@e-tapaal.com,control,generic,0
bagjaej@mailslapping.com,control,generic,0
putujannahham@mailasia.com,control,generic,0
wirawanrizalap_@mehrani.com,treatment,personalization,0
bungarahmijp@trashmail.net,treatment,personalization,0
fadhilahq1@mail2popular.com,control,generic,1
roestamaditya_qe@californiamail.com,treatment,personalization,0
sophiank@mail2fantasy.com,control,generic,0
sutrisnohusinm@mariahc.com,control,generic,1
zulawann9@careerbuildermail.com,treatment,personalization,1
hermawanabdurrahim3@ipdeer.com,treatment,personalization,0
candrawatiq@mail2uncle.com,control,generic,0
musliminw@bumerang.ro,control,generic,0
ribka2@youvegotmail.net,treatment,personalization,0
hayupretty@mail2boreas.com,control,generic,0
ehafebriantiw@mail2everything.com,treatment,personalization,0
fadhilahz85@mail2mypalm.com,treatment,personalization,0
susilochk@deal-maker.com,control,generic,0
yakobusc@earthling.net,control,generic,0
saepudino@whtjddn.33mail.com,control,generic,0
nuliaiy@mail2ellen.com,control,generic,1
budihartobm@freemail.ms,control,generic,0
marzukiasef@anti-ignorance.net,control,generic,0
atanasiakhaerunisac@mail2shirley.com,treatment,personalization,0
alielg2@netcenter-vn.net,control,generic,1
yudonovani4@trashdevil.com,treatment,personalization,0
adityaarsyadx2@albawaba.com,treatment,personalization,0
priyantof@frommiami.com,control,generic,1
cahyonosyukrik@fastmail.com,control,generic,0
haedarmemed4@eriga.lv,treatment,personalization,0
zamzam2i@2die4.com,treatment,personalization,1
bayur@mail2whitehouse.com,control,generic,0
goenawanlingga641@outel.com,treatment,personalization,0
panca30_@mail2la.com,control,generic,0
jadidy@footballmail.com,treatment,personalization,0
muhamadaha@diemailbox.de,control,generic,1
prabowoj@buerotiger.de,treatment,personalization,0
khairuddinsoerianto@arcor.de,control,generic,0
abrama45@truckerz.com,control,generic,0
satriowisnut@omaninfo.com,control,generic,0
kautsarxp@khosropour.com,treatment,personalization,1
zulkarnaeni@sina.com,treatment,personalization,0
rafitg@e-mail.org,control,generic,0
agungketuto@mail2nebraska.com,control,generic,0
puspaanindyaozu@dirtracers.com,control,generic,0
abdulazis4@stoned.com,treatment,personalization,1
mahbubdahlanq@hotfire.net,control,generic,0
zulkiflyfadlan3@mail2spanish.com,treatment,personalization,0
andarhartae5@torontomail.com,control,generic,1
syafii8m@live.hk,control,generic,0
chairunisaibu2h@writeremail.com,control,generic,0
setiawatiyf@city-of-manchester.com,treatment,personalization,1
putryu9@iwi.net,control,generic,0
galuhmulianaf@mortaza.com,control,generic,1
batman@the-hooligan.com,control,generic,0
supiangaa@centermail.at,treatment,personalization,0
fadilahdp@savecougars.com,treatment,personalization,1
prijonon@domozmail.com,control,generic,0
nuraidarinawati9@ehmail.com,control,generic,1
roestamyoyakim6s@kyokodate.com,control,generic,1
prettyiiswxk@olypmall.ru,control,generic,0
zevamuzaimahdm@jetable.org,treatment,personalization,0
fitriyanahabibahu@mail2barter.com,control,generic,0
raudhah44f@bikeracers.net,control,generic,0
darwisaah3@hatespam.org,treatment,personalization,0
kamilah@emailer.hubspot.com,control,generic,0
mahfudzahmje@ilkposta.com,treatment,personalization,1
laelaanisak8@mail2monaco.com,control,generic,0
pertiwiamirahmss@e-mail.ru,treatment,personalization,0
